,Latitude,Longitude,pm25_daily_average(ug/m3),pm25_daily_average_stderr(ug/m3),month,year,geometry,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,percents,counts
61,32.64804,-116.99346,8.722929032258063,3.7708,1.0,2015.0,POINT (-13023652.39334322 3848679.8024520366),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
62,32.64988,-117.0388,9.4522,3.965832258064516,1.0,2015.0,POINT (-13028699.619055785 3848923.0683445735),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
63,32.65004,-116.97784,8.471674193548386,3.6575709677419352,1.0,2015.0,POINT (-13021913.58289703 3848944.222137008),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
64,32.65103,-117.07567,9.97915806451613,4.147354838709677,1.0,2015.0,POINT (-13032803.968681334 3849075.112069381),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
65,32.65232,-117.0891,10.17484193548387,4.1873129032258065,1.0,2015.0,POINT (-13034298.989442687 3849245.667792118),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
66,32.65374,-116.95239,8.0852,3.555258064516129,1.0,2015.0,POINT (-13019080.501856338 3849433.414146098),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
67,32.65654,-117.05783,9.746954838709676,4.049574193548387,1.0,2015.0,POINT (-13030818.028965581 3849803.6269615255),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
68,32.65875,-117.09459,10.286293548387096,4.210145161290322,1.0,2015.0,POINT (-13034910.133447144 3850095.838835949),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
69,32.65906,-116.9845,8.583832258064515,3.721493548387097,1.0,2015.0,POINT (-13022654.970705712 3850136.8284096676),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
70,32.66021,-117.01295,9.053448387096774,3.8463451612903223,1.0,2015.0,POINT (-13025822.010218782 3850288.887747546),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
71,32.66155,-117.1564,10.699190322580645,4.364345161290323,1.0,2015.0,POINT (-13041790.791173076 3850466.0724004926),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
72,32.663,-117.11116,10.439467741935482,4.262177419354838,1.0,2015.0,POINT (-13036754.697409587 3850657.8050547405),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
73,32.66342,-117.07474,10.021135483870967,4.106929032258065,1.0,2015.0,POINT (-13032700.441554898 3850713.341990761),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
74,32.66511,-117.08798,10.212551612903226,4.21878064516129,1.0,2015.0,POINT (-13034174.311612999 3850936.8146808483),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
75,32.66633,-117.09643,10.325658064516128,4.2108741935483875,1.0,2015.0,POINT (-13035114.961310202 3851098.140787807),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
76,32.66657,-116.77951,5.62848064516129,2.6438125806451613,1.0,2015.0,POINT (-12999835.588288 3851129.877330392),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
78,32.66969,-117.05381,9.729077419354839,4.021070967741935,1.0,2015.0,POINT (-13030370.524612593 3851542.460140772),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
79,32.67031,-117.07878,10.097116129032258,4.117316129032258,1.0,2015.0,POINT (-13033150.172297703 3851624.449466373),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
80,32.67201,-117.06441,9.86234193548387,4.052467741935484,1.0,2015.0,POINT (-13031550.511215003 3851849.2618262526),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
81,32.67242,-117.03092,9.329187096774193,3.8954806451612902,1.0,2015.0,POINT (-13027822.421468336 3851903.481917991),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
83,32.67382,-117.09704,10.336319354838711,4.198764516129033,1.0,2015.0,POINT (-13035182.866199588 3852088.625570104),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
86,32.67757,-117.05477,9.72824193548387,4.008406451612903,1.0,2015.0,POINT (-13030477.391323755 3852584.560361624),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
87,32.67867,-117.04524,9.576564516129032,3.9602677419354837,1.0,2015.0,POINT (-13029416.516576495 3852730.0385164204),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
88,32.67985,-117.0872,10.216641935483871,4.135970967741936,1.0,2015.0,POINT (-13034087.48241018 3852886.0988924503),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
89,32.68003,-117.07455,10.025454838709678,4.111261290322581,1.0,2015.0,POINT (-13032679.290851645 3852909.9048937634),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
90,32.68042,-117.10417,10.39915806451613,4.167796774193549,1.0,2015.0,POINT (-13035976.574168943 3852961.4847278637),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
91,32.68178,-117.07923,10.104183870967741,4.104035483870968,1.0,2015.0,POINT (-13033200.26606856 3853141.354629462),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
92,32.68276,-116.98514,8.616641935483871,3.701725806451613,1.0,2015.0,POINT (-13022726.21517982 3853270.968462417),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
93,32.68357,-117.03876,9.489674193548387,3.970035483870968,1.0,2015.0,POINT (-13028695.166276155 3853378.0993367485),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
94,32.6836,-117.06099,9.810212903225807,3.996274193548387,1.0,2015.0,POINT (-13031169.798556492 3853382.067165569),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
95,32.68404,-117.09667,10.331832258064516,4.1612451612903225,1.0,2015.0,POINT (-13035141.677987995 3853440.262141418),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
